# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	4.993080e-02	2	1.000000e+00	5.442560e-02	2	false	GAMG	1.000000e+00	4.946580e-02	28	true
2             	smoothSolver	2.674270e-01	1.183780e-02	2	3.358830e-01	1.418620e-02	2	false	GAMG	4.009610e-02	1.971210e-03	25	true
3             	smoothSolver	1.427700e-01	6.835650e-03	2	2.290780e-01	1.020980e-02	2	false	GAMG	2.932300e-02	1.301210e-03	16	true
4             	smoothSolver	8.707930e-02	4.148650e-03	2	1.510260e-01	6.944390e-03	2	false	GAMG	4.927540e-02	2.429950e-03	21	true
5             	smoothSolver	4.784870e-02	2.275810e-03	2	8.675880e-02	4.069820e-03	2	false	GAMG	5.532390e-02	2.199920e-03	22	true
6             	smoothSolver	1.742920e-02	8.925150e-04	2	3.119050e-02	1.502090e-03	2	false	GAMG	2.029060e-01	9.080250e-03	22	true
7             	smoothSolver	1.551000e-02	9.595610e-04	2	2.736430e-02	1.492730e-03	2	false	GAMG	1.253480e-01	5.872980e-03	19	true
8             	smoothSolver	3.254930e-02	1.807520e-03	2	6.238620e-02	3.324400e-03	2	false	GAMG	8.313640e-02	3.464670e-03	16	true
9             	smoothSolver	3.995780e-02	2.076040e-03	2	8.087660e-02	4.213850e-03	2	false	GAMG	8.476940e-02	3.986830e-03	13	true
10            	smoothSolver	3.443420e-02	1.722880e-03	2	7.266420e-02	3.785400e-03	2	false	GAMG	1.366280e-01	5.565660e-03	16	true
11            	smoothSolver	2.036590e-02	1.063000e-03	2	4.173160e-02	2.117630e-03	2	false	GAMG	4.208670e-01	1.613360e-02	18	true
12            	smoothSolver	9.251460e-03	6.232310e-04	2	1.810740e-02	1.045130e-03	2	false	GAMG	1.386180e-01	6.294210e-03	18	true
13            	smoothSolver	1.389370e-02	8.532470e-04	2	2.848130e-02	1.623280e-03	2	false	GAMG	9.538810e-02	4.502800e-03	13	true
14            	smoothSolver	1.519030e-02	8.352340e-04	2	3.205600e-02	1.736830e-03	2	false	GAMG	8.594670e-02	3.543720e-03	14	true
15            	smoothSolver	1.270640e-02	6.624180e-04	2	2.780790e-02	1.440000e-03	2	false	GAMG	1.133380e-01	4.754440e-03	16	true
16            	smoothSolver	8.645970e-03	4.532870e-04	2	1.893430e-02	9.574110e-04	2	false	GAMG	2.100190e-01	9.032380e-03	18	true
17            	smoothSolver	4.899210e-03	2.926830e-04	2	1.006670e-02	5.457930e-04	2	false	GAMG	3.096120e-01	1.327700e-02	17	true
18            	smoothSolver	4.505370e-03	2.808610e-04	2	1.015270e-02	5.767530e-04	2	false	GAMG	1.713730e-01	7.488400e-03	13	true
19            	smoothSolver	5.604900e-03	3.155940e-04	2	1.253990e-02	6.891390e-04	2	false	GAMG	1.417040e-01	6.019080e-03	11	true
20            	smoothSolver	5.369570e-03	2.868470e-04	2	1.222810e-02	6.461920e-04	2	false	GAMG	1.714040e-01	8.446120e-03	12	true
21            	smoothSolver	4.149850e-03	2.194850e-04	2	9.740720e-03	4.953740e-04	2	false	GAMG	3.992980e-01	1.876320e-02	12	true
22            	smoothSolver	2.644440e-03	1.437580e-04	2	6.450460e-03	3.302320e-04	2	false	GAMG	1.809470e-01	7.580420e-03	12	true
23            	smoothSolver	1.906140e-03	1.067960e-04	2	5.137080e-03	2.619360e-04	2	false	GAMG	1.078380e-01	4.954360e-03	12	true
24            	smoothSolver	2.135680e-03	1.106580e-04	2	6.174860e-03	2.954510e-04	2	false	GAMG	7.843560e-02	3.612080e-03	10	true
25            	smoothSolver	2.287700e-03	1.128070e-04	2	6.393940e-03	2.971280e-04	2	false	GAMG	7.554200e-02	3.774470e-03	10	true
26            	smoothSolver	2.025040e-03	9.756150e-05	2	5.636680e-03	2.565400e-04	2	false	GAMG	8.176350e-02	4.058910e-03	11	true
27            	smoothSolver	1.557040e-03	7.634770e-05	2	4.354620e-03	1.982220e-04	2	false	GAMG	1.029970e-01	4.358590e-03	12	true
28            	smoothSolver	1.131160e-03	5.783490e-05	2	3.193600e-03	1.501540e-04	2	false	GAMG	1.489890e-01	5.915480e-03	12	true
29            	smoothSolver	9.942150e-04	5.225270e-05	2	3.165310e-03	1.509020e-04	2	false	GAMG	2.085740e-01	9.648130e-03	8	true
30            	smoothSolver	1.042510e-03	5.307270e-05	2	3.427980e-03	1.610420e-04	2	false	GAMG	2.416060e-01	1.093040e-02	8	true
31            	smoothSolver	1.010350e-03	5.011620e-05	2	3.390870e-03	1.570020e-04	2	false	GAMG	1.926290e-01	7.884370e-03	10	true
32            	smoothSolver	8.679310e-04	4.270900e-05	2	3.075740e-03	1.403770e-04	2	false	GAMG	1.250480e-01	5.940780e-03	10	true
33            	smoothSolver	6.969740e-04	3.501630e-05	2	2.730110e-03	1.232680e-04	2	false	GAMG	8.512670e-02	4.140230e-03	10	true
