# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	4.679180e-02	2	1.000000e+00	5.087260e-02	2	false	GAMG	1.000000e+00	4.985440e-02	36	true
2             	smoothSolver	9.627100e-01	6.009930e-02	2	7.706930e-01	4.712800e-02	2	false	GAMG	4.554050e-03	1.741370e-04	5	true
3             	smoothSolver	1.188840e-01	8.254990e-03	2	1.916910e-01	1.234230e-02	2	false	GAMG	7.497060e-01	3.033390e-02	28	true
4             	smoothSolver	9.311010e-02	6.879390e-03	2	1.498600e-01	8.668120e-03	2	false	GAMG	3.952600e-01	1.628710e-02	19	true
5             	smoothSolver	8.442260e-02	1.735400e-03	4	2.301230e-01	1.515920e-02	2	false	GAMG	1.885740e-01	7.238050e-03	7	true
6             	smoothSolver	6.681190e-02	1.058440e-03	4	1.562710e-01	1.232740e-02	2	false	GAMG	1.538800e-01	5.892290e-03	9	true
7             	smoothSolver	5.092720e-02	5.073130e-03	2	1.015580e-01	7.557600e-03	2	false	GAMG	2.555580e-01	1.218880e-02	11	true
8             	smoothSolver	3.398420e-02	3.328260e-03	2	8.041400e-02	7.232610e-03	2	false	GAMG	4.617780e-01	2.158330e-02	8	true
9             	smoothSolver	2.781980e-02	2.515580e-03	2	7.641660e-02	6.730700e-03	2	false	GAMG	4.806860e-01	1.744860e-02	8	true
10            	smoothSolver	2.337960e-02	2.181720e-03	2	8.210050e-02	6.644000e-03	2	false	GAMG	3.726760e-01	1.521820e-02	5	true
11            	smoothSolver	1.967000e-02	1.748710e-03	2	8.077780e-02	5.964420e-03	2	false	GAMG	3.780200e-01	1.254180e-02	7	true
12            	smoothSolver	1.656050e-02	1.393610e-03	2	7.173760e-02	5.518920e-03	2	false	GAMG	4.827060e-01	1.528650e-02	7	true
13            	smoothSolver	1.595570e-02	1.311920e-03	2	5.653530e-02	4.635690e-03	2	false	GAMG	4.205910e-01	1.877570e-02	5	true
14            	smoothSolver	1.640960e-02	1.387230e-03	2	4.634070e-02	3.653590e-03	2	false	GAMG	3.136770e-01	1.552790e-02	5	true
15            	smoothSolver	1.588410e-02	1.348530e-03	2	4.159440e-02	3.064820e-03	2	false	GAMG	2.978570e-01	1.262630e-02	5	true
16            	smoothSolver	1.437000e-02	1.221930e-03	2	3.841960e-02	2.733330e-03	2	false	GAMG	2.915010e-01	1.371780e-02	5	true
17            	smoothSolver	1.247130e-02	1.031540e-03	2	3.631460e-02	2.628980e-03	2	false	GAMG	3.431760e-01	1.428290e-02	5	true
18            	smoothSolver	1.088070e-02	8.871240e-04	2	3.447530e-02	2.479620e-03	2	false	GAMG	4.374610e-01	1.297750e-02	5	true
19            	smoothSolver	9.821520e-03	7.890760e-04	2	3.302740e-02	2.382480e-03	2	false	GAMG	4.802920e-01	2.165870e-02	5	true
20            	smoothSolver	8.868940e-03	7.191640e-04	2	3.192030e-02	2.281080e-03	2	false	GAMG	4.568020e-01	1.759910e-02	5	true
21            	smoothSolver	8.217440e-03	6.698570e-04	2	3.086000e-02	2.179870e-03	2	false	GAMG	4.512600e-01	1.529980e-02	5	true
22            	smoothSolver	7.907780e-03	6.390400e-04	2	2.943060e-02	2.071700e-03	2	false	GAMG	3.414740e-01	1.189110e-02	5	true
23            	smoothSolver	7.825970e-03	6.220890e-04	2	2.800170e-02	1.965670e-03	2	false	GAMG	2.655820e-01	1.320600e-02	5	true
24            	smoothSolver	7.887630e-03	6.296420e-04	2	2.707350e-02	1.922700e-03	2	false	GAMG	2.281200e-01	8.062360e-03	5	true
25            	smoothSolver	7.871480e-03	6.176740e-04	2	2.645480e-02	1.862750e-03	2	false	GAMG	2.175400e-01	8.874620e-03	5	true
