# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	6.078300e-03	4.647290e-04	2	1.983490e-02	1.418340e-03	2	false	GAMG	1.505510e-01	5.840910e-03	3	true
44            	smoothSolver	6.053210e-03	4.629520e-04	2	1.964680e-02	1.406500e-03	2	false	GAMG	1.434670e-01	6.013560e-03	3	true
45            	smoothSolver	6.006290e-03	4.585250e-04	2	1.941680e-02	1.387160e-03	2	false	GAMG	1.321350e-01	5.676280e-03	3	true
46            	smoothSolver	5.972170e-03	4.586630e-04	2	1.925790e-02	1.383270e-03	2	false	GAMG	1.339130e-01	5.906900e-03	3	true
47            	smoothSolver	5.921870e-03	4.530920e-04	2	1.905290e-02	1.368210e-03	2	false	GAMG	1.287000e-01	5.735350e-03	3	true
48            	smoothSolver	5.871940e-03	4.497290e-04	2	1.888930e-02	1.357570e-03	2	false	GAMG	1.314440e-01	5.768200e-03	3	true
49            	smoothSolver	5.828100e-03	4.453610e-04	2	1.869810e-02	1.345680e-03	2	false	GAMG	1.191990e-01	5.220850e-03	3	true
50            	smoothSolver	5.776080e-03	4.457460e-04	2	1.854190e-02	1.341440e-03	2	false	GAMG	1.145730e-01	5.049760e-03	3	true
51            	smoothSolver	5.730410e-03	4.412770e-04	2	1.836960e-02	1.327240e-03	2	false	GAMG	1.127320e-01	5.029300e-03	3	true
52            	smoothSolver	5.683130e-03	4.376880e-04	2	1.820050e-02	1.312750e-03	2	false	GAMG	1.280180e-01	5.937290e-03	3	true
53            	smoothSolver	5.652120e-03	4.361540e-04	2	1.806100e-02	1.307600e-03	2	false	GAMG	1.321850e-01	6.117070e-03	3	true
54            	smoothSolver	5.613120e-03	4.343930e-04	2	1.790690e-02	1.295520e-03	2	false	GAMG	1.395660e-01	6.402080e-03	3	true
55            	smoothSolver	5.586290e-03	4.319680e-04	2	1.781630e-02	1.292950e-03	2	false	GAMG	1.460550e-01	6.659990e-03	3	true
56            	smoothSolver	5.548670e-03	4.302420e-04	2	1.768110e-02	1.280990e-03	2	false	GAMG	1.482540e-01	6.760050e-03	3	true
57            	smoothSolver	5.519780e-03	4.288990e-04	2	1.757470e-02	1.285740e-03	2	false	GAMG	1.511930e-01	6.823860e-03	3	true
58            	smoothSolver	5.477290e-03	4.264890e-04	2	1.745300e-02	1.269840e-03	2	false	GAMG	1.510940e-01	6.843770e-03	3	true
59            	smoothSolver	5.443870e-03	4.252740e-04	2	1.734660e-02	1.269510e-03	2	false	GAMG	1.495980e-01	6.818930e-03	3	true
60            	smoothSolver	5.407070e-03	4.256930e-04	2	1.724900e-02	1.260500e-03	2	false	GAMG	1.492640e-01	6.914840e-03	3	true
61            	smoothSolver	5.373360e-03	4.200820e-04	2	1.713170e-02	1.253660e-03	2	false	GAMG	1.466310e-01	6.837670e-03	3	true
62            	smoothSolver	5.337520e-03	4.170400e-04	2	1.704650e-02	1.239350e-03	2	false	GAMG	1.452200e-01	6.807280e-03	3	true
63            	smoothSolver	5.307280e-03	4.167020e-04	2	1.694930e-02	1.240020e-03	2	false	GAMG	1.450490e-01	6.779880e-03	3	true
64            	smoothSolver	5.275210e-03	4.166650e-04	2	1.686310e-02	1.232200e-03	2	false	GAMG	1.419960e-01	6.721310e-03	3	true
65            	smoothSolver	5.244860e-03	4.120950e-04	2	1.674620e-02	1.221960e-03	2	false	GAMG	1.450980e-01	6.993520e-03	3	true
66            	smoothSolver	5.211610e-03	4.102270e-04	2	1.662820e-02	1.212490e-03	2	false	GAMG	1.541950e-01	7.546130e-03	3	true
67            	smoothSolver	5.186740e-03	4.068510e-04	2	1.652570e-02	1.205790e-03	2	false	GAMG	1.537860e-01	4.597530e-03	4	true
68            	smoothSolver	5.165220e-03	4.064360e-04	2	1.643130e-02	1.200480e-03	2	false	GAMG	1.584420e-01	4.878110e-03	4	true
69            	smoothSolver	5.135660e-03	4.039510e-04	2	1.629900e-02	1.191520e-03	2	false	GAMG	1.573150e-01	5.146210e-03	4	true
70            	smoothSolver	5.114860e-03	4.026560e-04	2	1.620660e-02	1.186400e-03	2	false	GAMG	1.612760e-01	5.485070e-03	4	true
71            	smoothSolver	5.085310e-03	3.996020e-04	2	1.609940e-02	1.179730e-03	2	false	GAMG	1.634010e-01	5.671600e-03	4	true
72            	smoothSolver	5.067760e-03	3.984710e-04	2	1.599460e-02	1.173500e-03	2	false	GAMG	1.637400e-01	5.604670e-03	4	true
73            	smoothSolver	5.037730e-03	3.961850e-04	2	1.587590e-02	1.164680e-03	2	false	GAMG	1.605100e-01	5.328140e-03	4	true
74            	smoothSolver	5.018640e-03	3.953900e-04	2	1.576540e-02	1.160830e-03	2	false	GAMG	1.608130e-01	5.142170e-03	4	true
75            	smoothSolver	4.992160e-03	3.935000e-04	2	1.567040e-02	1.154920e-03	2	false	GAMG	1.598950e-01	5.233990e-03	4	true
76            	smoothSolver	4.973150e-03	3.915570e-04	2	1.556520e-02	1.147080e-03	2	false	GAMG	1.581540e-01	5.263650e-03	4	true
77            	smoothSolver	4.951320e-03	3.910230e-04	2	1.548080e-02	1.139660e-03	2	false	GAMG	1.612260e-01	5.278500e-03	4	true
78            	smoothSolver	4.932980e-03	3.897540e-04	2	1.537980e-02	1.134360e-03	2	false	GAMG	1.619660e-01	5.097480e-03	4	true
79            	smoothSolver	4.913280e-03	3.905580e-04	2	1.528960e-02	1.131830e-03	2	false	GAMG	1.598960e-01	4.918650e-03	4	true
80            	smoothSolver	4.889420e-03	3.874960e-04	2	1.519030e-02	1.123080e-03	2	false	GAMG	1.574210e-01	4.921920e-03	4	true
81            	smoothSolver	4.869320e-03	3.857800e-04	2	1.509630e-02	1.118210e-03	2	false	GAMG	1.552940e-01	4.905150e-03	4	true
82            	smoothSolver	4.841410e-03	3.837950e-04	2	1.499350e-02	1.112520e-03	2	false	GAMG	1.529760e-01	4.826000e-03	4	true
83            	smoothSolver	4.824550e-03	3.840710e-04	2	1.492630e-02	1.110340e-03	2	false	GAMG	1.559350e-01	4.841350e-03	4	true
84            	smoothSolver	4.801120e-03	3.806220e-04	2	1.483970e-02	1.098630e-03	2	false	GAMG	1.564390e-01	4.771860e-03	4	true
85            	smoothSolver	4.782520e-03	3.805330e-04	2	1.476550e-02	1.096820e-03	2	false	GAMG	1.601200e-01	4.905920e-03	4	true
86            	smoothSolver	4.759750e-03	3.786200e-04	2	1.468020e-02	1.086160e-03	2	false	GAMG	1.637520e-01	5.045100e-03	4	true
87            	smoothSolver	4.740390e-03	3.771080e-04	2	1.460760e-02	1.084000e-03	2	false	GAMG	1.707070e-01	5.348710e-03	4	true
88            	smoothSolver	4.716720e-03	3.777300e-04	2	1.450850e-02	1.080520e-03	2	false	GAMG	1.741950e-01	5.511140e-03	4	true
89            	smoothSolver	4.697710e-03	3.733290e-04	2	1.445870e-02	1.073710e-03	2	false	GAMG	1.766270e-01	5.530160e-03	4	true
90            	smoothSolver	4.679840e-03	3.734370e-04	2	1.439790e-02	1.071010e-03	2	false	GAMG	1.797970e-01	5.557850e-03	4	true
91            	smoothSolver	4.656910e-03	3.715640e-04	2	1.433880e-02	1.065260e-03	2	false	GAMG	1.823760e-01	5.646500e-03	4	true
92            	smoothSolver	4.634310e-03	3.707100e-04	2	1.426960e-02	1.059940e-03	2	false	GAMG	1.844140e-01	5.674360e-03	4	true
93            	smoothSolver	4.617210e-03	3.697610e-04	2	1.422360e-02	1.057130e-03	2	false	GAMG	1.868440e-01	5.764000e-03	4	true
94            	smoothSolver	4.593610e-03	3.668020e-04	2	1.416590e-02	1.049090e-03	2	false	GAMG	1.860280e-01	5.765670e-03	4	true
95            	smoothSolver	4.575140e-03	3.652280e-04	2	1.410490e-02	1.046600e-03	2	false	GAMG	1.913110e-01	5.918300e-03	4	true
