pos,chord,twist,foil
0,3.542,13.308,Cylinder_1
1.367,3.542,13.308,Cylinder_1
4.1,3.854,13.308,Cylinder_1
6.83,4.167,13.308,Cylinder_2
10.25,4.557,13.308,DU40
14.35,4.652,11.48,DU35
18.45,4.458,10.162,DU35
22.55,4.249,9.011,DU30
26.65,4.007,7.795,DU25
30.75,3.748,6.544,DU25
34.85,3.502,5.361,DU21
38.95,3.256,4.188,DU21
43.05,3.01,3.125,NACA64
47.15,2.764,2.319,NACA64
51.25,2.518,1.526,NACA64
54.667,2.313,0.863,NACA64
57.4,2.086,0.37,NACA64
60.133,1.419,0.106,NACA64
61.5,0.961,0,NACA64
