,deg,rad,X,Y,Z,,,,X,Y,Z,,,,X,Y,Z,
98,176.4,3.078760797,0.999013364103687,-0.002097525541972,0,,,(,0.04112268706534,-0.049005888884203,0,),,(,0.04112268706534,-0.049005888884203,0.3,)
97,174.6,3.0473448705,0.997780982137693,-0.002356384849902,0,,,(,0.047586473659998,-0.052204283363039,0,),,(,0.047586473659998,-0.052204283363039,0.3,)
96,172.8,3.015928944,0.996057350441277,-0.002717769471727,0,,,(,0.054496737783586,-0.055299818862654,0,),,(,0.054496737783586,-0.055299818862654,0.3,)
95,171,2.9845130175,0.993844170030824,-0.003180669458582,0,,,(,0.061846659839717,-0.058287820625375,0,),,(,0.061846659839717,-0.058287820625375,0.3,)
94,169.2,2.953097091,0.991143625048194,-0.003743798231069,0,,,(,0.069628986342703,-0.061163655613441,0,),,(,0.069628986342703,-0.061163655613441,0.3,)
93,167.4,2.9216811645,0.987958380605237,-0.00440560125879,0,,,(,0.077836037075877,-0.06392277777659,0,),,(,0.077836037075877,-0.06392277777659,0.3,)
92,165.6,2.890265238,0.984291580153653,-0.005164266379846,0,,,(,0.086459712671032,-0.066560772494335,0,),,(,0.086459712671032,-0.066560772494335,0.3,)
91,163.8,2.8588493115,0.98014684238278,-0.006017735595046,0,,,(,0.095491502601524,-0.069073399697786,0,),,(,0.095491502601524,-0.069073399697786,0.3,)
90,162,2.827433385,0.975528257648389,-0.006963718148641,0,,,(,0.104922493581133,-0.071456635198715,0,),,(,0.104922493581133,-0.071456635198715,0.3,)
89,160.2,2.7960174585,0.970440383935993,-0.007999704687806,0,,,(,0.114743378360401,-0.073706709782421,0,),,(,0.114743378360401,-0.073706709782421,0.3,)
88,158.4,2.764601532,0.96488824236267,-0.009122982277208,0,,,(,0.124944464911763,-0.075820145655278,0,),,(,0.124944464911763,-0.075820145655278,0.3,)
87,156.6,2.7331856055,0.95887731222182,-0.010330650033101,0,,,(,0.135515685994408,-0.077793789877195,0,),,(,0.135515685994408,-0.077793789877195,0.3,)
86,154.8,2.701769679,0.952413525575772,-0.011619635133683,0,,,(,0.14644660908943,-0.07962484445295,0,),,(,0.14644660908943,-0.07962484445295,0.3,)
85,153,2.6703537525,0.945503261401548,-0.012986708959144,0,,,(,0.157726446695466,-0.08131089280381,0,),,(,0.157726446695466,-0.08131089280381,0.3,)
84,151.2,2.638937826,0.938153339295585,-0.014428503115927,0,,,(,0.169344066974654,-0.082849922391327,0,),,(,0.169344066974654,-0.082849922391327,0.3,)
83,149.4,2.6075218995,0.93037101274362,-0.015941525105271,0,,,(,0.181288004738417,-0.084240343317968,0,),,(,0.181288004738417,-0.084240343317968,0.3,)
82,147.6,2.576105973,0.922163961962369,-0.017522173406011,0,,,(,0.19354647276222,-0.085481002783516,0,),,(,0.19354647276222,-0.085481002783516,0.3,)
81,145.8,2.5446900465,0.913540286320087,-0.01916675175569,0,,,(,0.206107373418133,-0.086571195331153,0,),,(,0.206107373418133,-0.086571195331153,0.3,)
80,144,2.51327412,0.904508496343463,-0.020871482432147,0,,,(,0.218958310613732,-0.087510668872104,0,),,(,0.218958310613732,-0.087510668872104,0.3,)
79,142.2,2.4818581935,0.895077505318762,-0.022632518359447,0,,,(,0.232086602025548,-0.088299626531775,0,),,(,0.232086602025548,-0.088299626531775,0.3,)
78,140.4,2.450442267,0.885256620495488,-0.024445953887124,0,,,(,0.245479291614983,-0.088938724412846,0,),,(,0.245479291614983,-0.088938724412846,0.3,)
77,138.6,2.4190263405,0.87505553390125,-0.026307834119627,0,,,(,0.259123162414363,-0.08942906542089,0,),,(,0.259123162414363,-0.08942906542089,0.3,)
76,136.8,2.387610414,0.8644843127769,-0.028214162703223,0,,,(,0.273004749570484,-0.089772189345269,0,),,(,0.273004749570484,-0.089772189345269,0.3,)
75,135,2.3561944875,0.853553389641386,-0.030160908009872,0,,,(,0.287110353632798,-0.089970059431507,0,),,(,0.287110353632798,-0.089970059431507,0.3,)
74,133.2,2.324778561,0.842273551996111,-0.032144007691162,0,,,(,0.301426054073118,-0.090025045720625,0,),,(,0.301426054073118,-0.090025045720625,0.3,)
